stop_id,stop_name,stop_lat,stop_lon
113A00,Br. Las Nieves,4.60812745525,-74.06718922100
310A09,Br. El Rubí II,4.60813332404,-74.17561630596
170A09,Br. Gran Colombiano,4.60839634680,-74.19941769309
171A09,Br. Gran Colombiano,4.60840388724,-74.19910975723
494A09,Br. Gran Colombiano I Sector,4.60849296272,-74.20120992638
137A09,Dg 73H,4.60852899982,-74.20137900003
372A09,Br. Perpetuo Socorro,4.60854618515,-74.16613538727
471A00,Br. La Favorita,4.60869140770,-74.08052303375
141A09,Br. Gran Colombiano,4.60878000027,-74.20087699955
521A09,Lago Timiza II Etapa,4.60885901431,-74.16217183971
470A09,Br. Timiza,4.60900599983,-74.14872599974
830A00,Br. La Sabana,4.60933889380,-74.08661857598
207A09,Br. Jiménez de Quesada II Sector,4.60965864314,-74.19153871026
375A09,Br. Jaqueline,4.60966800005,-74.16358599970
154D08,Br. Provivienda Norte,4.60969232632,-74.12832671058
237A09,Colegio Claretiano,4.60979655896,-74.18329892787
613A09,Br. Jiménez de Quesada II Sector,4.60988410201,-74.18799514705
180A00,Estación Ricaurte,4.60990805751,-74.09503639837
194A09,Br. Humberto Valencia,4.61024248593,-74.19585101413
190A00,Estación San Diego,4.61049770522,-74.07118313858
589A09,Br. Carvajal II,4.61059176521,-74.14205792778
602A09,Br. Perpetuo Socorro,4.61059515865,-74.16671156996
199A09,Br. Humberto Valencia,4.61075642664,-74.19466011439
393A09,Br. Timiza,4.61116321838,-74.15710416058
380A09,Br. Jaqueline,4.61119914981,-74.16225872135
154A08,Br. Provivienda Norte,4.61130777323,-74.12822149973
373A09,IED Villa Rica Sede B,4.61167500168,-74.16618775236
646A09,Colegio Claretiano,4.61170799989,-74.18263700000
209C08,Santa Rosa del Carvajal,4.61176499992,-74.13274199975
062B09,Parroquia San Cayetano,4.61193983995,-74.14115048803
198A09,Br. Humberto Valencia II Sector,4.61229356465,-74.19612494631
159A00,Paloquemao,4.61292196462,-74.08492498797
713A00,Br. Paloquemao,4.61327195112,-74.08811712939
007B00,Br. El Listón,4.61330500044,-74.08221300001
653A09,Br. Islandia - Santa Lucía,4.61330700026,-74.19589599982
523A08,Br. La Camelia,4.61341899959,-74.12154400023
034A09,Multifamiliares Carimagua,4.61354839385,-74.15047872891
